;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
02.01.2013 00:00;0.340409532;0.292406458;0.749536361;0.184031293;48;83.49585417;91.563;65.85;48;19.1905863;15.38581852;78.67908895;0.012681203;48;38.4463171;20.10485231;83.18081005;6.628266425;80.08576795;24;0;48;35.49067083;104.39;3.5897;48;18.02537083;35.96061286;64.317799;67.24546134;2.20786638;2.134051384;0;0;0;0;0;24;0;0;0;0;0;48;973.89;980.59;965.75;48;14.73988227;37.072224;2.7934128;48;256.98403;48;0.856971667;2.281681495;4.758940889;0.643151931;48;43.95982933;369.25;48;3.687383333;5.24875;5.3543;1.1543;48;1.8604;0.017302;48
03.01.2013 00:00;0.422552569;0.362966042;0.611955274;0.279411379;48;77.97691667;91.473;61.213;48;24.28777981;19.47243125;74.35722713;0.707213751;48;48.89026706;25.56633958;68.72771882;24.06713147;65.02839294;24;0;48;45.03877083;91.35;15.33;48;8.631274583;17.21939186;46.037615;46.89446745;1.533606292;1.448250221;0;0;0;0;0;24;0;0;0;0;0;48;985.0179167;987.31;980.9;48;19.0581493;36.338736;5.694608;48;183.6493;48;1.174196458;3.126290442;5.156184919;1.579763895;48;34.92547829;282.15;48;2.987308604;4.9117;4.9667;0.035833;48;2.554;0.3669;48
04.01.2013 00:00;0.433220449;0.372129583;0.654575376;0.308399101;48;83.49508333;88.96;76.949;48;23.52290459;18.85920188;62.52418153;0.8593832;48;50.81781639;26.57431896;68.45234899;24.25090259;66.60603256;24;0;48;45.43352083;85.736;14.822;48;6.027084792;12.02403351;26.60831105;27.75244349;1.323293403;1.271592981;0;0;0;0;0;24;0;0;0;0;0;48;985.6927083;987.18;983.64;48;21.025699;30.794624;12.530112;48;54.415963;48;0.993790417;2.645960528;3.663058562;2.025252309;48;18.77734268;96.845;48;5.994302083;7.04755;7.3078;4.3692;48;2.3736;0.11252;48
05.01.2013 00:00;0.33677491;0.289284375;0.518228304;0.247140709;48;83.8130625;91.249;79.092;48;8.039745777;6.445768125;31.39305627;0.649351942;48;28.16181663;14.72674646;52.67977735;13.63212582;51.84123799;24;0;48;21.17251458;52.464;7.6493;48;13.134995;26.2043136;49.6096623;50.88047723;1.403422574;1.344290777;0;0;0;0;0;24;0;0;0;0;0;48;982.095625;983.37;981.4;48;15.44838377;28.392144;3.1832848;48;4.566733;48;0.686516042;1.827844501;2.929807851;1.066967647;48;22.58910004;103.68;48;6.860175;7.4975;7.523;6.3333;48;2.4993;0.33606;48
06.01.2013 00:00;0.247107239;0.21226125;0.294627023;0.211901417;48;82.2835625;85.954;79.579;48;2.994396968;2.40072125;14.92258434;0.31361874;48;17.06622737;8.924495417;34.08810713;7.986661947;30.38839879;24;0;48;11.32521667;24.554;4.6196;48;17.78149375;35.4740781;46.79272245;48.78373235;16.15750412;12.12760434;0;0;0;0;0;24;0;0;0;0;0;48;980.1729167;981.77;979.19;48;13.6301965;17.71928;6.8899952;48;0;48;0.469556875;1.250192129;2.437752427;0.749811421;48;13.54653224;77.671;48;5.506416667;6.2295;6.2949;4.1591;48;2.3886;0.15838;48
07.01.2013 00:00;0.338832087;0.291051458;0.56292062;0.227233478;48;84.87960417;91.549;78.09;48;17.98769229;14.42141292;47.96206416;1.003994069;48;30.35717188;15.87477042;51.44252543;12.80221088;47.40281185;24;0;48;30.29618333;63.147;7.9239;48;10.42936875;20.80658952;32.11550825;35.37533808;6.719558635;5.827793683;0;0;0;0;0;24;0;0;0;0;0;48;977.51125;979.4;976.24;48;16.9306565;25.683808;6.5665808;48;0;48;0.472323125;1.257557252;2.869635498;0.781042469;48;20.4765455;155.21;48;4.254964583;5.46665;5.5359;3.1614;48;2.2954;0.43421;48
08.01.2013 00:00;0.430653949;0.369925;0.816801848;0.226837662;48;78.96229167;90.182;66.811;48;31.29657523;25.0916475;108.6340192;0.298102445;48;34.78237294;18.18885458;73.03802149;12.38328541;59.67111124;24;0;48;43.28050208;125.29;6.8653;48;6.695197708;13.3569187;28.96939342;29.4661484;1.505676293;1.393627124;0;0;0;0;0;24;0;0;0;0;0;48;975.3858333;976.49;974.52;48;30.43376033;45.752304;17.2284;48;0;48;0.599576458;1.596368425;3.698735975;0.600871534;48;68.75437088;330.87;48;3.7964825;6.13475;6.2001;0.84056;48;2.4281;0.31541;48
09.01.2013 00:00;0.537383193;0.46160375;0.841319175;0.368260495;48;89.4295625;96.309;81.04;48;47.39028538;37.99458333;101.872457;13.7513785;48;42.92884898;22.44891667;53.75066;36.04476272;49.22235621;24;0;48;60.4435;108.04;29.945;48;0.963428125;1.922039005;4.318177265;4.462615257;1.254625507;1.170187136;0;0;0;0;0;24;0;0;0;0;0;48;970.715;974.46;967.25;48;35.51899;53.191968;24.71904;48;0;48;0.371563542;0.989285516;1.863026579;0.436089811;48;25.69380017;134.2;48;0.87740375;2.0373;2.1974;0.156;48;2.4046;0.22635;48
10.01.2013 00:00;0.516150511;0.443365208;0.708080425;0.329493782;48;89.61393617;94.37;84.229;47;40.04011484;32.10167375;133.011066;1.146808839;48;42.72641152;22.34305542;61.09767992;24.37321268;59.86234029;24;0;48;54.44472917;138.59;13.665;48;2.707675833;5.401812994;20.12815241;20.77193887;1.19311966;1.086836041;0;0;0;0;0;24;0;0;0;0;0;48;964.2804167;967.16;961.39;48;24.66871103;33.43688;7.3465136;48;725.43327;48;0.54890625;1.461459325;3.38962048;0.875747363;48;12.77332826;89.305;48;2.520410638;3.7974;3.8027;0.74133;47;2.9748;0.11517;48
11.01.2013 00:00;0.409736561;0.351957292;0.607903978;0.254707785;48;88.49941667;95.197;80.308;48;27.36949101;21.94315563;94.18291069;0.392272883;48;41.56889295;21.73775063;70.04719923;13.46156863;69.4821174;24;0;48;43.68090625;112.14;7.354;48;6.0977;12.16491084;29.30854341;29.71751838;2.20836513;2.100136386;0;0;0;0;0;24;0;0;0;0;0;48;963.5708333;966.8;959.7;48;12.6706087;21.663312;3.3486736;48;740.29933;48;0.603899583;1.607878718;3.170231015;0.670149615;48;14.40570413;89.99;48;2.875558333;3.4654;3.5307;1.8054;48;2.2072;0.20917;48
12.01.2013 00:00;0.343901543;0.295406042;0.711607847;0.238211559;48;72.57472917;86.933;55.304;48;8.285613773;6.642889792;27.5152299;0.882183672;48;31.17927391;16.30467479;67.2686412;15.09160501;61.96585978;24;0;48;22.94756458;57.237;9.7511;48;16.66409583;33.24486938;56.37071693;57.0170969;13.76290575;3.356387817;0;0;0;0;0;24;0;0;0;0;0;48;964.3341667;966.64;962.53;48;19.15968043;31.395008;9.1673008;48;10.78327;48;0.827655417;2.20362717;3.379769254;1.532451386;48;58.33205332;298.89;48;3.011460417;4.39745;4.4972;2.0863;48;1.7265;0.31641;48
13.01.2013 00:00;0.373110215;0.320495833;0.499415388;0.290610652;48;84.55408333;92.996;78.324;48;10.52422724;8.437670833;27.9779747;1.926689738;48;30.44592686;15.92118333;57.02832584;18.45417654;50.1268696;24;0;48;24.35885417;52.253;11.195;48;9.994579167;19.93918435;32.00877576;35.90600805;7.121551113;4.304810766;0;0;0;0;0;24;0;0;0;0;0;48;960.956875;962.38;960.09;48;23.62809067;34.974656;11.486048;48;272.04999;48;0.795360625;2.117642497;2.578678208;1.391685354;48;23.76666574;141.01;48;1.483989167;2.1321;2.1695;0.95578;48;2.8931;0.018447;48
14.01.2013 00:00;0.436248977;0.374731042;0.625610936;0.279155262;48;82.12477083;85.811;73.406;48;21.38294662;17.14351667;75.99491965;1.461949273;48;33.69739431;17.62148333;55.42965102;17.44047137;53.26876281;24;0;48;34.765;84.018;10.826;48;4.770160625;9.516469929;21.24774634;21.84524881;2.251556878;1.989234342;0;0;0;0;0;24;0;0;0;0;0;48;960.5945833;961.73;959.53;48;29.68658433;43.907728;17.800464;48;1.799997;48;0.797999167;2.124667597;2.816651878;1.355821567;48;10.52249832;60.448;48;0.652570167;1.1194;1.2081;-0.10267;48;2.4575;0.15054;48
15.01.2013 00:00;0.42182254;0.362338958;0.614469872;0.251063947;48;76.45804167;88.258;66.989;48;25.64636403;20.56165958;115.2895617;0.330319961;48;37.44078415;19.57902583;70.99951987;13.43722517;63.48039382;24;0;48;40.14068542;129.56;7.2916;48;9.589105833;19.1302651;55.03406701;55.76623197;2.912679892;1.901793497;0;0;0;0;0;24;0;0;0;0;0;48;955.4697917;959.72;954.03;48;19.69802003;29.614624;11.0573776;48;208.566657;48;0.938586667;2.498980903;4.501477767;1.418470039;48;32.21676985;168.71;48;0.324470417;1.24455;1.4028;-0.99456;48;3.0995;0.12335;48
16.01.2013 00:00;0.371524282;0.319133542;0.690501525;0.220492959;48;68.5065625;88.033;58.425;48;16.23347425;13.01499;60.23789792;0.179959083;48;35.16370596;18.38826625;64.97771724;11.76257506;63.06255836;24;0;48;31.40325625;81.678;6.3196;48;14.93273125;29.79079722;54.25801205;54.54928203;14.09247973;12.8106923;0;0;0;0;0;24;0;0;0;0;0;48;955.7791667;956.95;954.56;48;17.46689373;26.216224;8.3041072;48;29.366333;48;0.909020625;2.420261509;3.946081622;1.247671081;48;33.43927136;209.33;48;-1.616109854;0.375;0.46389;-3.2363;48;2.6068;0.7072;48
17.01.2013 00:00;0.463277991;0.397948542;0.597670963;0.297944895;48;84.96302083;89.353;77.587;48;21.99774341;17.6364225;44.03559346;0.979397499;48;43.51483533;22.75534833;55.87521469;19.90675237;55.78533704;24;0;48;40.39177083;58.791;11.563;48;4.87579625;9.72721299;28.66515594;29.91103337;1.394664524;1.357477726;0;0;0;0;0;24;0;0;0;0;0;48;960.2220833;962.16;957.29;48;28.500645;36.503936;16.96408;48;874.566367;48;1.147118125;3.054194556;4.014773954;1.727079661;48;20.64979032;110.16;48;-3.195222917;-2.16945;-2.0695;-4.0362;48;1.7205;0.8631;48
18.01.2013 00:00;0.637720199;0.547791667;1.044221592;0.432440943;48;81.42583333;93.827;67.982;48;58.56301016;46.95217917;235.9250107;4.005548926;48;58.35730396;30.51696667;101.6573604;38.51926656;96.85751135;24;0;48;77.46914583;240.4;25.813;48;2.845295625;5.676364463;16.83969433;17.97754252;1.312320904;1.188680785;0;0;0;0;0;24;0;0;0;0;0;48;955.638125;961.16;949.2;48;36.312599;55.000672;26.859088;48;66.25;48;1.82015625;4.846154191;7.546305338;3.417044163;48;37.00483411;203.69;48;-4.12398125;-2.31945;-2.2779;-5.9333;48;4.3368;0.44311;48
19.01.2013 00:00;0.602618909;0.517640208;0.725554551;0.510544811;48;81.306875;87.011;76.814;48;21.46568096;17.20984792;56.84402029;7.158824207;48;48.92640138;25.58523542;59.98663916;42.06082847;59.14140679;24;0;48;42.79508333;70.737;27.748;48;2.715522083;5.417466262;13.08131404;13.60589926;1.489816044;1.354485226;0;0;0;0;0;24;0;0;0;0;0;48;944.1189583;948.9;940.62;48;39.521609;54.259632;33.502016;48;319.149597;48;1.529791042;4.07305871;5.162308654;2.128423932;48;27.13305774;123.19;48;-2.721841667;-1.1;-1.0971;-4.3334;48;4.5137;0.42189;48
20.01.2013 00:00;0.607265142;0.52163125;0.786137727;0.529439218;48;86.13195833;88.064;83.882;48;19.15212326;15.35498125;41.78797586;5.286142151;48;46.49650171;24.31456042;56.66690294;33.76148792;55.9048552;24;0;48;39.66954167;63.136;25.522;48;2.464348125;4.916374242;13.48799477;13.85168325;1.226805233;1.162965237;0;0;0;0;0;24;0;0;0;0;0;48;941.74125;945.82;939.3;48;47.96806867;64.467104;38.92624;48;36.967;48;1.237650625;3.295236749;4.47964532;2.077596931;48;31.6404912;189.99;48;-0.703598458;0.802975;0.86967;-1.8362;48;3.1324;0.12024;48
21.01.2013 00:00;0.518130078;0.445065625;0.68040821;0.364872773;48;84.39333333;92.31;75.867;48;26.25056302;21.04606875;115.8658099;0.975381223;48;44.51177529;23.27668125;65.90900269;15.6406236;62.04713213;24;0;48;44.32275;127.36;8.961;48;5.577461875;11.12703584;24.42777617;25.40831862;2.125792084;1.708936857;0;0;0;0;0;24;0;0;0;0;0;48;947.7533333;949.86;946.03;48;21.64291767;46.658544;12.743456;48;228.615937;48;1.033128333;2.750697476;4.121007445;2.071233571;48;44.90377833;411.89;48;0.495974458;1.80585;1.8549;-1.0884;48;2.5733;0.081053;48
22.01.2013 00:00;0.492835736;0.423338182;0.797371925;0.275814107;44;82.46375;89.91;75.327;48;33.16840091;26.59236091;92.69489304;0.774916683;44;55.03398596;28.77909364;93.41921312;20.76311428;89.40722776;22;0;44;55.37145455;121.19;11.479;44;7.63188125;15.22560227;45.82714251;47.18773243;1.519082692;1.452579371;0;0;0;0;0;24;0;0;0;0;0;48;953.003125;954.94;949.9;48;16.68274833;28.695168;8.0450736;48;176.432503;48;1.184723636;3.154318986;4.27463332;2.114552341;44;42.74574013;235.37;48;1.995831042;3.3908;3.5453;0.11244;48;2.3856;0.16507;48
